k,coordinates,cluster_id,mse,center,radius
1,"[1.4, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.2068973962053775
1,"[2.36, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6596257342471149
1,"[3.0, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.470984988858371
1,"[1.4, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.8381142701326696
1,"[1.42, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.8312408499314101
1,"[1.47, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1712505096433765
1,"[1.05, 13.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.252392747651528
1,"[1.2, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.9169961570498226
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[1.91, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5916747843685045
1,"[3.78, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.865475013057612
1,"[1.86, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6046747881937232
1,"[3.3, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.6022012837299413
1,"[1.5, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1569339769097042
1,"[1.8, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.0508001393273876
1,"[1.99, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5793055946787875
1,"[4.36, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",3.250405741108342
1,"[2.18, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.593713134225304
1,"[1.1, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.962900752504569
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[1.6, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1137284807747752
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.0, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.0237044186346105
1,"[2.1, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5801546036902632
1,"[1.37, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.8487821936283142
1,"[2.65, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.8393457719958562
1,"[2.6, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.803774765706742
1,"[2.24, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6105998910318479
1,"[3.2, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.555299712183479
1,"[3.0, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.470984988858371
1,"[1.79, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.0531341047627214
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.0, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5785191977991933
1,"[2.69, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.3679089127508623
1,"[2.04, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5770982784643668
1,"[1.99, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5793055946787875
1,"[2.13, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5839930091801113
